 INFO  Accepting connections at http://127.0.0.1:3104
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 10 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/media/header-background.ecd47f74.webp
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/css/ccca05f628764c6b.css
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/media/e4af272ccee01ff0-s.p.woff2
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/chunks/webpack-a64457ed7099ea9f.js
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/chunks/framework-66d32731bdd20e83.js
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/chunks/main-5d77cecfe18a5947.js
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/chunks/pages/_app-45be56fe50b3f6bb.js
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/chunks/103-e67a79d533151b0a.js
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/chunks/252-beaeed46666a31b9.js
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/chunks/143-f628994157963907.js
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/chunks/pages/index-7aac1198a921f751.js
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/4n8gkWviStBUmGAyAH63i/_buildManifest.js
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/4n8gkWviStBUmGAyAH63i/_ssgManifest.js
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 GET /_next/static/media/profilepic.5a215497.webp
 HTTP  9/8/2026 7:25:30 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:25:31 AM 127.0.0.1 GET /_next/static/media/polyscannr.7161f1e0.webp
 HTTP  9/8/2026 7:25:31 AM 127.0.0.1 GET /_next/static/media/rolefit.6f221277.webp
 HTTP  9/8/2026 7:25:31 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:25:31 AM 127.0.0.1 GET /_next/static/chunks/pages/stats-12130aa00bf791aa.js
 HTTP  9/8/2026 7:25:31 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:25:31 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:25:31 AM 127.0.0.1 GET /_next/static/chunks/pages/stats-12130aa00bf791aa.js
 HTTP  9/8/2026 7:25:31 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:25:33 AM 127.0.0.1 GET /_next/static/media/retirement_site.a64e0c3d.webp
 HTTP  9/8/2026 7:25:33 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/media/header-background.ecd47f74.webp
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/css/ccca05f628764c6b.css
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/media/e4af272ccee01ff0-s.p.woff2
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/chunks/webpack-a64457ed7099ea9f.js
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/chunks/framework-66d32731bdd20e83.js
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/chunks/main-5d77cecfe18a5947.js
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/chunks/pages/_app-45be56fe50b3f6bb.js
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/chunks/103-e67a79d533151b0a.js
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/chunks/143-f628994157963907.js
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/chunks/252-beaeed46666a31b9.js
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/chunks/pages/index-7aac1198a921f751.js
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/4n8gkWviStBUmGAyAH63i/_buildManifest.js
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/4n8gkWviStBUmGAyAH63i/_ssgManifest.js
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 GET /_next/static/media/profilepic.5a215497.webp
 HTTP  9/8/2026 7:27:30 AM 127.0.0.1 Returned 200 in 0 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 Returned 200 in 13 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/media/header-background.ecd47f74.webp
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/css/1b939f25ecdc5b1c.css
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/media/e4af272ccee01ff0-s.p.woff2
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/chunks/webpack-d53b640be244d040.js
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/chunks/framework-66d32731bdd20e83.js
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/chunks/main-5d77cecfe18a5947.js
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/chunks/pages/_app-45be56fe50b3f6bb.js
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/chunks/103-e67a79d533151b0a.js
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/chunks/143-f628994157963907.js
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/chunks/252-beaeed46666a31b9.js
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/chunks/pages/index-d970b3465c2179bb.js
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 Returned 200 in 7 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 Returned 200 in 6 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 Returned 200 in 5 ms
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/zaIyqu1cujxH24VhLhgOK/_buildManifest.js
 HTTP  9/8/2026 7:37:32 AM 127.0.0.1 GET /_next/static/zaIyqu1cujxH24VhLhgOK/_ssgManifest.js
